ID1,gene1,ID2,gene2,value,gene_compare
1,ABCA5,71,CD14,0.16471,ABCA5--CD14;
1,ABCA5,72,CD24,-0.02074,ABCA5--CD24;
1,ABCA5,88,CLASP2,-0.0007,ABCA5--CLASP2;
1,ABCA5,161,FGFR2,0.04689,ABCA5--FGFR2;
1,ABCA5,188,GSTP1,0.05439,ABCA5--GSTP1;
1,ABCA5,270,MTHFD2,-0.08628,ABCA5--MTHFD2;
1,ABCA5,278,NFATC4,0.03705,ABCA5--NFATC4;
1,ABCA5,281,NFKBIB,0.16904,ABCA5--NFKBIB;
1,ABCA5,300,PDK4,-0.04748,ABCA5--PDK4;
1,ABCA5,306,PIK3R2,0.14999,ABCA5--PIK3R2;
1,ABCA5,313,PLAUR,0.06205,ABCA5--PLAUR;
1,ABCA5,317,PLN,-0.064,ABCA5--PLN;
1,ABCA5,361,SMO,0.05859,ABCA5--SMO;
10,ADIPOQ,155,FABP4,-0.10699,ADIPOQ--FABP4;
28,ALOX12B,103,CRP,-0.03523,ALOX12B--CRP;
28,ALOX12B,104,CSF2,-0.00238,ALOX12B--CSF2;
28,ALOX12B,117,CYP3A4,-0.01548,ALOX12B--CYP3A4;
28,ALOX12B,259,MMP13,-0.00446,ALOX12B--MMP13;
28,ALOX12B,306,PIK3R2,-0.00358,ALOX12B--PIK3R2;
28,ALOX12B,324,PPFIA3,-0.05343,ALOX12B--PPFIA3;
28,ALOX12B,329,PTGDR,-0.00273,ALOX12B--PTGDR;
28,ALOX12B,357,SHH,-0.06481,ALOX12B--SHH;
28,ALOX12B,379,TCL1B,-0.04108,ALOX12B--TCL1B;
28,ALOX12B,389,TIMP3,-0.15878,ALOX12B--TIMP3;
28,ALOX12B,396,TNFRSF,-0.00051,ALOX12B--TNFRSF;
29,ALOX15,148,ERG,-0.19444,ALOX15--ERG;
29,ALOX15,357,SHH,-0.01051,ALOX15--SHH;
30,ALOX15B,35,ANPEP,-0.31274,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP,-0.09452,ALOX15B--CNTNAP;
30,ALOX15B,148,ERG,0.06213,ALOX15B--ERG;
30,ALOX15B,175,GDF15,-0.05529,ALOX15B--GDF15;
30,ALOX15B,184,GREB1,-0.0019,ALOX15B--GREB1;
30,ALOX15B,185,GREM1,0.02084,ALOX15B--GREM1;
30,ALOX15B,199,HPGD,-0.01527,ALOX15B--HPGD;
30,ALOX15B,256,MME,-0.06129,ALOX15B--MME;
30,ALOX15B,276,NAT1,-0.0751,ALOX15B--NAT1;
35,ANPEP,94,CNTNAP,-0.03148,ANPEP--CNTNAP;
35,ANPEP,148,ERG,0.0322,ANPEP--ERG;
35,ANPEP,161,FGFR2,-0.00719,ANPEP--FGFR2;
35,ANPEP,237,KRT5,-0.03076,ANPEP--KRT5;
35,ANPEP,256,MME,-0.00003,ANPEP--MME;
35,ANPEP,310,PLA2G7,0.00082,ANPEP--PLA2G7;
35,ANPEP,402,TRIM29,-0.03613,ANPEP--TRIM29;
37,ANXA2,200,HPN,0.02208,ANXA2--HPN;
37,ANXA2,300,PDK4,-0.00983,ANXA2--PDK4;
45,APOE,300,PDK4,0.06996,APOE--PDK4;
45,APOE,306,PIK3R2,-0.03234,APOE--PIK3R2;
53,BMP2,1,ABCA5,0.00675,BMP2--ABCA5;
63,CAMKK2,175,GDF15,-0.00929,CAMKK2--GDF15;
71,CD14,300,PDK4,0.0192,CD14--PDK4;
71,CD14,313,PLAUR,-0.0533,CD14--PLAUR;
80,CDKN1A,213,IL6,-0.10608,CDKN1A--IL6;
87,CHGA,327,PSCA,-0.02297,CHGA--PSCA;
94,CNTNAP2,148,ERG,0.04123,CNTNAP2--ERG;
138,EMP1,213,IL6,-0.10022,EMP1--IL6;
143,ERBB3,156,FASN,-0.02123,ERBB3--FASN;
143,ERBB3,200,HPN,-0.13829,ERBB3--HPN;
143,ERBB3,317,PLN,0.04891,ERBB3--PLN;
148,ERG,153,F5,-0.08519,ERG--F5;
148,ERG,176,GHR,-0.16232,ERG--GHR;
148,ERG,190,GUCY1A,-0.05723,ERG--GUCY1A;
148,ERG,199,HPGD,0.15539,ERG--HPGD;
148,ERG,200,HPN,-0.00049,ERG--HPN;
148,ERG,228,ITPR3,-0.02469,ERG--ITPR3;
148,ERG,231,KHDRBS,-0.00396,ERG--KHDRBS;
148,ERG,276,NAT1,0.0769,ERG--NAT1;
148,ERG,310,PLA2G7,-0.26033,ERG--PLA2G7;
148,ERG,325,PRAME,-0.03445,ERG--PRAME;
148,ERG,362,SMOX,-0.00024,ERG--SMOX;
148,ERG,413,WIF1,0.00268,ERG--WIF1;
153,F5,200,HPN,-0.04502,F5--HPN;
153,F5,310,PLA2G7,-0.10567,F5--PLA2G7;
153,F5,317,PLN,0.02144,F5--PLN;
155,FABP4,185,GREM1,-0.09755,FABP4--GREM1;
156,FASN,165,FOLH1,-0.03232,FASN--FOLH1;
156,FASN,175,GDF15,-0.0784,FASN--GDF15;
156,FASN,200,HPN,-0.21202,FASN--HPN;
156,FASN,306,PIK3R2,-0.01118,FASN--PIK3R2;
156,FASN,317,PLN,0.11839,FASN--PLN;
161,FGFR2,188,GSTP1,-0.09562,FGFR2--GSTP1;
161,FGFR2,270,MTHFD2,0.06763,FGFR2--MTHFD2;
161,FGFR2,278,NFATC4,-0.00705,FGFR2--NFATC4;
161,FGFR2,306,PIK3R2,-0.05089,FGFR2--PIK3R2;
161,FGFR2,402,TRIM29,-0.14951,FGFR2--TRIM29;
165,FOLH1,175,GDF15,-0.0501,FOLH1--GDF15;
165,FOLH1,200,HPN,-0.10889,FOLH1--HPN;
165,FOLH1,264,MMP7,0.00346,FOLH1--MMP7;
165,FOLH1,317,PLN,0.10418,FOLH1--PLN;
175,GDF15,200,HPN,-0.13714,GDF15--HPN;
175,GDF15,317,PLN,0.03917,GDF15--PLN;
176,GHR,310,PLA2G7,-0.0033,GHR--PLA2G7;
188,GSTP1,402,TRIM29,-0.01894,GSTP1--TRIM29;
194,HDAC9,317,PLN,-0.01137,HDAC9--PLN;
199,HPGD,276,NAT1,-0.03156,HPGD--NAT1;
200,HPN,317,PLN,0.05745,HPN--PLN;
204,IER3,313,PLAUR,-0.17651,IER3--PLAUR;
208,IHH,306,PIK3R2,-0.03187,IHH--PIK3R2;
208,IHH,357,SHH,-0.05226,IHH--SHH;
212,IL1B,213,IL6,-0.05824,IL1B--IL6;
212,IL1B,313,PLAUR,-0.0813,IL1B--PLAUR;
