ID1,gene1,ID2,gene2,value,gene_compare
1,ABCA5,306,PIK3R2,0.01476,ABCA5--PIK3R2;
29,ALOX15,148,ERG,-0.08496,ALOX15--ERG;
30,ALOX15B,35,ANPEP,-0.18863,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP2,-0.03413,ALOX15B--CNTNAP2;
30,ALOX15B,148,ERG,0.03162,ALOX15B--ERG;
148,ERG,153,F5,-0.03355,ERG--F5;
148,ERG,176,GHR,-0.05146,ERG--GHR;
148,ERG,199,HPGD,0.08121,ERG--HPGD;
148,ERG,276,NAT1,0.01888,ERG--NAT1;
148,ERG,310,PLA2G7,-0.15578,ERG--PLA2G7;
153,F5,310,PLA2G7,-0.00081,F5--PLA2G7;
156,FASN,200,HPN,-0.05853,FASN--HPN;
161,FGFR2,402,TRIM29,-0.03163,FGFR2--TRIM29;
165,FOLH1,200,HPN,-0.00658,FOLH1--HPN;
175,GDF15,200,HPN,-0.04707,GDF15--HPN;
213,IL6,214,IL8,-0.10896,IL6--IL8;
213,IL6,313,PLAUR,-0.06661,IL6--PLAUR;
236,KRT15,237,KRT5,-0.03551,KRT15--KRT5;
236,KRT15,402,TRIM29,-0.03684,KRT15--TRIM29;
237,KRT5,402,TRIM29,-0.11256,KRT5--TRIM29;
264,MMP7,343,RARRES1,-0.04369,MMP7--RARRES1;
306,PIK3R2,317,PLN,0.01758,PIK3R2--PLN;
353,SERPINB,402,TRIM29,-0.13809,SERPINB--TRIM29;
