ABCA5	ADIPOQ	ALOX12B	ALOX15	ALOX15B	ANPEP	ANXA2	APOE	BMP2	CAMKK2	CD14	CD24	CDKN1A	CHGA	CLASP2	CNTNAP2	CRP	CSF2	CYP3A4	EMP1	ERBB3	ERG	F5	FABP4	FASN	FGFR2	FOLH1	GDF15	GHR	GREB1	GREM1	GSTP1	GUCY1A3	HDAC9	HPGD	HPN	IER3	IHH	IL1B	IL6	IL8	INHBA	IRF7	ITGBL1	ITPR3	KDR	KHDRBS3	KRT15	KRT5	MEN1	MME	MMP1	MMP13	MMP7	MTHFD2	NAT1	NFATC4	NFKBIB	PDK4	PIK3R2	PLA2G7	PLAUR	PLN	PPFIA3	PRAME	PSCA	PTGDR	RARRES1	SERPINB5	SHH	SMO	SMOX	SULF1	TCL1B	TIMP3	TNFRSF13B	TRIM29	VDR	WIF1	ZNF10
0.120492525	0.092788043	1.4098506	5.1486373	0.12489007	1.2858399	0.08707124	1.42392265	0.047493405	10.963061	0.54617417	0.3843448	6.790677	0.05013193	3.0096748	0.91204923	0.040457346	0.601143405	0.21254765	0.621811778	3.806634074	1.052330721	0.04925242	0.047493406	28.459982	0.361184423	17.16578785	61.604225	0.98153037	0.48724717	1.59982415	0.922163685	1.9357961	0.048372913	2.759601579	26.357082	0.9551451	0.61037819	0.641161	0.06068602	0.208443275	0.494283215	2.3746703	0.41512755	2.48284965	0.1807388	0.53386104	0.15743184	0.29463503	4.978892	28.463503	0.2216359	0.051890943	0.29991204	25.592789	0.9850484	0.524846093	0.67985934	0.3755497	5.35532115	0.029023748	0.38346526	0.29991204	2.7977135	3.5338612	2.3729112	0.8302551	0.23570801	0.577396675	1.6631488	0.6552331	1.3526826	0.10642041	2.7713282	1.5580476	3.029024	0.987687	0.309000297	0.025505718	0.3403694
0.120492525	0.092788043	1.4098506	5.1486373	0.12489007	1.2858399	0.08707124	1.42392265	0.047493405	10.963061	0.54617417	0.3843448	6.790677	0.05013193	3.0096748	0.91204923	0.040457346	0.601143405	0.21254765	0.621811778	3.806634074	1.052330721	0.04925242	0.047493406	28.459982	0.361184423	17.16578785	61.604225	0.98153037	0.48724717	1.59982415	0.922163685	1.9357961	0.048372913	2.759601579	26.357082	0.9551451	0.61037819	0.641161	0.06068602	0.208443275	0.494283215	2.3746703	0.41512755	2.48284965	0.1807388	0.53386104	0.15743184	0.29463503	4.978892	28.463503	0.2216359	0.051890943	0.29991204	25.592789	0.9850484	0.524846093	0.67985934	0.3755497	5.35532115	0.029023748	0.38346526	0.29991204	2.7977135	3.5338612	2.3729112	0.8302551	0.23570801	0.577396675	1.6631488	0.6552331	1.3526826	0.10642041	2.7713282	1.5580476	3.029024	0.987687	0.309000297	0.025505718	0.3403694
0.11141304	0.019021739	2.084239	4.344203	0.44021738	1.57971	0.21014492	1.36775358	0.074275362	11.371377	0.5778985	0.30344203	15.496377	0.05163043	3.5788043	0.11594202	0.0932971	1.053442075	0.153985501	0.416666665	4.17947699	0.319746363	0.054347824	0.032608695	26.168478	0.241092988	16.8980975	88.38678	0.8722826	0.37771738	1.57971	1.2690217	1.4456521	0.014492753	2.506038465	21.606882	0.6123188	0.651268115	0.61775362	0.23007245	0.167119555	0.36639492	2.816123	0.23550723	2.70471015	0.369112315	0.55163044	0.6512681	0.75181156	4.2327895	27.511774	0.120471016	0.07699275	0.1838768	25.18478	1.0389493	0.904664835	0.77626806	0.23278986	5.57971	0.041666664	0.37001808	0.25724638	2.8668478	3.2128623	2.1748188	0.3460145	0.038043478	0.61911231	2.4710143	0.44202897	1.21150358	0.08423913	2.3686593	1.24411228	3.7590578	0.8632246	0.71527776	0.07518116	0.061594203
0.19924098	0.20303606	2.2163188	5.0996203	0.23908919	0.31783682	0.11005693	1.51375705	0.095825435	9.863378	0.38709676	0.5654649	54.86338	0.08633777	2.695446	0.24478178	0.08064516	0.78889947	0.291587607	0.482922213	3.840878241	0.262571162	0.037950665	0.012333966	28.281784	0.27197976	19.388993	156.71538	0.81309295	0.25996205	1.63472485	1.2490513	1.398482	0.030360533	2.559772332	25.905123	0.18975332	0.9729602	0.86242885	0.05028463	0.34535104	0.30882354	2.958254	0.1963947	3.107685	0.211100575	0.7390892	0.1679317	0.2694497	4.7836814	26.822582	0.22580644	0.06736243	0.08349147	26.811195	0.7182163	0.472248595	0.36907023	0.31499052	5.78510455	0.08918406	1.059772315	0.13757116	2.8121443	3.2561672	2.105313	0.74383307	0.048861483	2.470114	1.9307401	0.46015182	1.28273245	0.10626186	1.6337761	1.3273245	3.296964	1.0502846	0.59361167	0.018975332	0.414611
0.14285715	0.061751154	2.1447005	5.4635944	0.15023041	0.84792626	0.13917051	1.174654445	0.048847924	10.5400915	0.42396313	0.30414745	59.474655	0.0718894	2.7806454	0.2110599	0.06082949	1.01935487	0.081105993	0.482949325	3.654904549	0.912211978	0.07096774	0.05437788	29.747467	0.405837179	17.0497695	150.27466	1.1023041	0.32073733	1.15944695	1.7797234	1.3493087	0.014746544	2.646697496	22.819353	0.56589866	1.00783405	1.0101383	0.10599078	0.27235023	0.184792625	1.8940092	0.5456221	2.79262675	0.269585244	0.5870968	0.06082949	0.8156682	4.927189	25.940092	0.062672816	0.057142854	0.11059908	20.702303	0.96129036	0.491013853	0.70322585	0.4202765	5.5889398	0.028571427	0.369585255	0.13271889	2.9336405	3.0884793	2.5400922	0.15852535	0.137327184	3.2714286	2.2442396	0.47465438	1.31290325	0.04608295	2.8230414	1.33410135	4.4589863	0.8552996	0.461443937	0.032258064	0.0562212
0.3520871	0.080762255	2.2640655	8.008167	0.17604356	1.0907441	0.1306715	0.592559005	0.089836667	10.004538	0.7713249	0.21052633	43.368423	0.05989111	2.727768	0.37749547	0.09709619	0.96098005	0.194192383	0.73457351	3.911719143	0.951225093	0.047186933	0.11978222	32.676044	0.234573512	13.727314	110.500916	1.0136117	0.41470057	1.5136117	1.4600726	2.022686	0.021778585	2.810950063	23.11706	0.7731397	0.78221421	0.76179678	0.11343013	0.27903813	0.342558985	3.008167	0.47005445	2.73230505	0.429673345	0.5127042	0.14428312	0.24682397	4.153358	24.710527	0.26406536	0.05989111	0.45462796	13.000907	1.045372	0.686252288	0.33756807	0.13611616	5.5385667	0.11343013	0.51497277	0.47277677	3.4210527	3.810345	2.894737	0.29219604	0.167876589	2.628403	2.4473686	0.41923776	1.3421053	0.085299455	3.0689657	1.57713255	3.7595282	1.2731398	0.598911087	0.06987296	0.3756806
0.3506151	0.082601056	3.0316343	7.6933217	0.1801406	1.8049208	0.3172232	1.2816344	0.064147624	9.129174	0.88664323	0.41739893	34.20826	0.12038664	3.0421793	0.20035148	0.04745167	1.06151135	0.201230223	0.38137082	3.934848119	1.040641462	0.27855888	0.103690684	30.150265	0.244141768	17.1511425	108.21704	0.93497366	0.41300526	1.6137961	1.6753075	1.0878735	0.058875218	2.539835798	21.772408	0.8989455	0.93233745	0.70254831	0.23725834	0.173989452	0.17355008	2.5817223	0.2899824	2.2521968	0.25439367	0.52460456	0.12741652	0.3655536	4.20826	28.265379	0.088752195	0.060632687	0.27328646	6.360281	0.62741655	0.80843581	1.4525484	0.30843583	4.6401581	0.065905094	0.39982423	0.50351495	2.728471	4.2882247	2.1370826	0.10544816	0.105008783	1.96045695	2.0123022	0.53163445	1.07952545	0.088752195	2.9121265	0.92442882	4.102812	1.2952547	0.444346803	0.03427065	0.4446397
0.17490496	0.278992415	2.5513308	7.4401145	0.14258556	1.7433461	0.1093156	1.00285175	0.079372627	13.1711035	0.4714829	0.46768063	31.233843	0.04847909	3.2585552	0.2861217	0.038022816	0.95674905	0.103295318	0.643536125	4.708854253	0.54158749	0.037072245	0.18821293	36.135933	0.250475299	12.22386005	116.69108	1.0038023	0.4344107	1.31749055	0.7281369	2.3849812	0.02281369	2.224651614	32.71008	0.5456274	0.84363129	1.30703425	0.10551332	0.41492398	0.24239546	2.376426	0.38783273	3.08365035	0.301806095	0.83840305	0.16825096	0.3403042	4.1958175	21.134981	0.012357415	0.077946775	0.1891635	6.992396	1.194867	0.903517158	0.51806086	0.04657795	5.49619825	0.041825097	1.294201615	0.44581753	2.9277568	5.5351715	2.746198	0.26520914	0.069866923	2.00427775	2.931559	0.4686312	1.07937268	0.15399241	3.221483	1.06511415	4.5827	1.0788974	0.44835237	0.09790875	0.096007615
0.08927038	0.018454936	1.9364808	6.9536476	0.18283261	0.8309013	0.10815451	1.5193133	0.11072962	10.8686695	0.6291846	0.2583691	22.235191	0.17167382	2.7991416	0.2300429	0.17510729	0.635622325	0.19971387	0.552789729	3.433721641	0.818454929	0.051502146	0.1639485	35.334763	0.278969961	14.51587975	96.54334	0.70987123	0.46180257	1.78798285	1.58626605	2.5682404	0.052360512	2.82432041	27.5588	1.095279	1.19270385	1.159227485	0.5330472	0.28497853	0.31030043	2.1107295	0.2274678	2.2017167	0.278540775	0.7399141	0.22660944	0.6789699	3.386266	22.838627	0.17768241	0.030042918	0.40515023	4.9965663	0.89012873	0.576180273	0.70643777	0.34763947	5.03862635	0.1888412	0.4034335	0.55879825	3.6678112	4.63691	2.474678	0.8437768	0.04248927	1.0167382	2.0695279	0.50042915	1.340343275	0.115879826	2.7888412	1.56180255	4.6618023	0.88927037	0.523605147	0.0583691	0.066952795
0.23828435	0.079825253	1.6250993	8.367752	0.18427323	0.7331215	0.38602063	0.852263675	0.10484512	9.590945	0.5750596	0.5750596	25.104052	0.06830818	2.638602	0.86576647	0.16123907	1.35424935	0.306592537	0.797855457	4.142176267	0.701945931	0.34710088	0.19301032	32.500397	0.2185597	13.9030973	86.42414	0.7593328	0.43208897	1.8661635	1.5277998	2.0897539	0.046862587	2.641514333	23.903097	0.37331215	0.569896745	1.20413025	0.032565527	0.19062748	0.496028585	1.9666402	0.5726767	1.62073075	0.74543285	0.3995234	0.16997616	0.20095313	4.3486896	22.932486	0.04845115	0.2573471	0.051628277	4.9706116	0.82208097	0.641382053	1.3399523	0.40190625	5.6886419	0.60762507	1.1763304	0.8967434	3.2454329	3.890389	2.7355042	0.17235902	0.072279584	0.84511517	2.1461477	0.4765687	0.99523427	0.14535345	2.7331216	1.41461475	3.7664814	0.9507545	0.25125762	0.021445591	0.7561556
