ABCA5	ADIPOQ	ALOX12B	ALOX15	ALOX15B	ANPEP	APOE	CD14	CDKN1A	CHGA	CNTNAP2	EMP1	ERBB3	ERG	F5	FABP4	FASN	FGFR2	FOLH1	GDF15	GHR	GREM1	GSTP1	GUCY1A3	HPGD	HPN	IER3	IL1B	IL6	IL8	KRT15	KRT5	MME	MMP1	MMP7	MTHFD2	NAT1	NFKBIB	PDK4	PIK3R2	PLA2G7	PLAUR	PLN	PRAME	PSCA	RARRES1	SERPINB5	TIMP3	TRIM29
0.120492525	0.092788043	1.4098506	5.1486373	0.12489007	1.2858399	1.42392265	0.54617417	6.790677	0.05013193	0.91204923	0.621811778	3.806634074	1.052330721	0.04925242	0.047493406	28.459982	0.361184423	17.16578785	61.604225	0.98153037	1.59982415	0.922163685	1.9357961	2.759601579	26.357082	0.9551451	0.641161	0.06068602	0.208443275	0.15743184	0.29463503	28.463503	0.2216359	0.29991204	25.592789	0.9850484	0.67985934	0.3755497	5.35532115	0.029023748	0.38346526	0.29991204	3.5338612	2.3729112	0.23570801	0.577396675	1.5580476	0.987687
0.120492525	0.092788043	1.4098506	5.1486373	0.12489007	1.2858399	1.42392265	0.54617417	6.790677	0.05013193	0.91204923	0.621811778	3.806634074	1.052330721	0.04925242	0.047493406	28.459982	0.361184423	17.16578785	61.604225	0.98153037	1.59982415	0.922163685	1.9357961	2.759601579	26.357082	0.9551451	0.641161	0.06068602	0.208443275	0.15743184	0.29463503	28.463503	0.2216359	0.29991204	25.592789	0.9850484	0.67985934	0.3755497	5.35532115	0.029023748	0.38346526	0.29991204	3.5338612	2.3729112	0.23570801	0.577396675	1.5580476	0.987687
0.11141304	0.019021739	2.084239	4.344203	0.44021738	1.57971	1.36775358	0.5778985	15.496377	0.05163043	0.11594202	0.416666665	4.17947699	0.319746363	0.054347824	0.032608695	26.168478	0.241092988	16.8980975	88.38678	0.8722826	1.57971	1.2690217	1.4456521	2.506038465	21.606882	0.6123188	0.61775362	0.23007245	0.167119555	0.6512681	0.75181156	27.511774	0.120471016	0.1838768	25.18478	1.0389493	0.77626806	0.23278986	5.57971	0.041666664	0.37001808	0.25724638	3.2128623	2.1748188	0.038043478	0.61911231	1.24411228	0.8632246
0.19924098	0.20303606	2.2163188	5.0996203	0.23908919	0.31783682	1.51375705	0.38709676	54.86338	0.08633777	0.24478178	0.482922213	3.840878241	0.262571162	0.037950665	0.012333966	28.281784	0.27197976	19.388993	156.71538	0.81309295	1.63472485	1.2490513	1.398482	2.559772332	25.905123	0.18975332	0.86242885	0.05028463	0.34535104	0.1679317	0.2694497	26.822582	0.22580644	0.08349147	26.811195	0.7182163	0.36907023	0.31499052	5.78510455	0.08918406	1.059772315	0.13757116	3.2561672	2.105313	0.048861483	2.470114	1.3273245	1.0502846
0.14285715	0.061751154	2.1447005	5.4635944	0.15023041	0.84792626	1.174654445	0.42396313	59.474655	0.0718894	0.2110599	0.482949325	3.654904549	0.912211978	0.07096774	0.05437788	29.747467	0.405837179	17.0497695	150.27466	1.1023041	1.15944695	1.7797234	1.3493087	2.646697496	22.819353	0.56589866	1.0101383	0.10599078	0.27235023	0.06082949	0.8156682	25.940092	0.062672816	0.11059908	20.702303	0.96129036	0.70322585	0.4202765	5.5889398	0.028571427	0.369585255	0.13271889	3.0884793	2.5400922	0.137327184	3.2714286	1.33410135	0.8552996
0.3520871	0.080762255	2.2640655	8.008167	0.17604356	1.0907441	0.592559005	0.7713249	43.368423	0.05989111	0.37749547	0.73457351	3.911719143	0.951225093	0.047186933	0.11978222	32.676044	0.234573512	13.727314	110.500916	1.0136117	1.5136117	1.4600726	2.022686	2.810950063	23.11706	0.7731397	0.76179678	0.11343013	0.27903813	0.14428312	0.24682397	24.710527	0.26406536	0.45462796	13.000907	1.045372	0.33756807	0.13611616	5.5385667	0.11343013	0.51497277	0.47277677	3.810345	2.894737	0.167876589	2.628403	1.57713255	1.2731398
0.3506151	0.082601056	3.0316343	7.6933217	0.1801406	1.8049208	1.2816344	0.88664323	34.20826	0.12038664	0.20035148	0.38137082	3.934848119	1.040641462	0.27855888	0.103690684	30.150265	0.244141768	17.1511425	108.21704	0.93497366	1.6137961	1.6753075	1.0878735	2.539835798	21.772408	0.8989455	0.70254831	0.23725834	0.173989452	0.12741652	0.3655536	28.265379	0.088752195	0.27328646	6.360281	0.62741655	1.4525484	0.30843583	4.6401581	0.065905094	0.39982423	0.50351495	4.2882247	2.1370826	0.105008783	1.96045695	0.92442882	1.2952547
0.17490496	0.278992415	2.5513308	7.4401145	0.14258556	1.7433461	1.00285175	0.4714829	31.233843	0.04847909	0.2861217	0.643536125	4.708854253	0.54158749	0.037072245	0.18821293	36.135933	0.250475299	12.22386005	116.69108	1.0038023	1.31749055	0.7281369	2.3849812	2.224651614	32.71008	0.5456274	1.30703425	0.10551332	0.41492398	0.16825096	0.3403042	21.134981	0.012357415	0.1891635	6.992396	1.194867	0.51806086	0.04657795	5.49619825	0.041825097	1.294201615	0.44581753	5.5351715	2.746198	0.069866923	2.00427775	1.06511415	1.0788974
0.08927038	0.018454936	1.9364808	6.9536476	0.18283261	0.8309013	1.5193133	0.6291846	22.235191	0.17167382	0.2300429	0.552789729	3.433721641	0.818454929	0.051502146	0.1639485	35.334763	0.278969961	14.51587975	96.54334	0.70987123	1.78798285	1.58626605	2.5682404	2.82432041	27.5588	1.095279	1.159227485	0.5330472	0.28497853	0.22660944	0.6789699	22.838627	0.17768241	0.40515023	4.9965663	0.89012873	0.70643777	0.34763947	5.03862635	0.1888412	0.4034335	0.55879825	4.63691	2.474678	0.04248927	1.0167382	1.56180255	0.88927037
0.23828435	0.079825253	1.6250993	8.367752	0.18427323	0.7331215	0.852263675	0.5750596	25.104052	0.06830818	0.86576647	0.797855457	4.142176267	0.701945931	0.34710088	0.19301032	32.500397	0.2185597	13.9030973	86.42414	0.7593328	1.8661635	1.5277998	2.0897539	2.641514333	23.903097	0.37331215	1.20413025	0.032565527	0.19062748	0.16997616	0.20095313	22.932486	0.04845115	0.051628277	4.9706116	0.82208097	1.3399523	0.40190625	5.6886419	0.60762507	1.1763304	0.8967434	3.890389	2.7355042	0.072279584	0.84511517	1.41461475	0.9507545
