ABCA5	ALOX15	ALOX15B	ANPEP	CNTNAP2	ERG	F5	FASN	FGFR2	FOLH1	GDF15	GHR	HPGD	HPN	IL6	IL8	KRT15	KRT5	MMP7	NAT1	PIK3R2	PLA2G7	PLAUR	PLN	RARRES1	SERPINB5	TRIM29
0.120492525	5.1486373	0.12489007	1.2858399	0.91204923	1.052330721	0.04925242	28.459982	0.361184423	17.16578785	61.604225	0.98153037	2.759601579	26.357082	0.06068602	0.208443275	0.15743184	0.29463503	0.29991204	0.9850484	5.35532115	0.029023748	0.38346526	0.29991204	0.23570801	0.577396675	0.987687
0.120492525	5.1486373	0.12489007	1.2858399	0.91204923	1.052330721	0.04925242	28.459982	0.361184423	17.16578785	61.604225	0.98153037	2.759601579	26.357082	0.06068602	0.208443275	0.15743184	0.29463503	0.29991204	0.9850484	5.35532115	0.029023748	0.38346526	0.29991204	0.23570801	0.577396675	0.987687
0.11141304	4.344203	0.44021738	1.57971	0.11594202	0.319746363	0.054347824	26.168478	0.241092988	16.8980975	88.38678	0.8722826	2.506038465	21.606882	0.23007245	0.167119555	0.6512681	0.75181156	0.1838768	1.0389493	5.57971	0.041666664	0.37001808	0.25724638	0.038043478	0.61911231	0.8632246
0.19924098	5.0996203	0.23908919	0.31783682	0.24478178	0.262571162	0.037950665	28.281784	0.27197976	19.388993	156.71538	0.81309295	2.559772332	25.905123	0.05028463	0.34535104	0.1679317	0.2694497	0.08349147	0.7182163	5.78510455	0.08918406	1.059772315	0.13757116	0.048861483	2.470114	1.0502846
0.14285715	5.4635944	0.15023041	0.84792626	0.2110599	0.912211978	0.07096774	29.747467	0.405837179	17.0497695	150.27466	1.1023041	2.646697496	22.819353	0.10599078	0.27235023	0.06082949	0.8156682	0.11059908	0.96129036	5.5889398	0.028571427	0.369585255	0.13271889	0.137327184	3.2714286	0.8552996
0.3520871	8.008167	0.17604356	1.0907441	0.37749547	0.951225093	0.047186933	32.676044	0.234573512	13.727314	110.500916	1.0136117	2.810950063	23.11706	0.11343013	0.27903813	0.14428312	0.24682397	0.45462796	1.045372	5.5385667	0.11343013	0.51497277	0.47277677	0.167876589	2.628403	1.2731398
0.3506151	7.6933217	0.1801406	1.8049208	0.20035148	1.040641462	0.27855888	30.150265	0.244141768	17.1511425	108.21704	0.93497366	2.539835798	21.772408	0.23725834	0.173989452	0.12741652	0.3655536	0.27328646	0.62741655	4.6401581	0.065905094	0.39982423	0.50351495	0.105008783	1.96045695	1.2952547
0.17490496	7.4401145	0.14258556	1.7433461	0.2861217	0.54158749	0.037072245	36.135933	0.250475299	12.22386005	116.69108	1.0038023	2.224651614	32.71008	0.10551332	0.41492398	0.16825096	0.3403042	0.1891635	1.194867	5.49619825	0.041825097	1.294201615	0.44581753	0.069866923	2.00427775	1.0788974
0.08927038	6.9536476	0.18283261	0.8309013	0.2300429	0.818454929	0.051502146	35.334763	0.278969961	14.51587975	96.54334	0.70987123	2.82432041	27.5588	0.5330472	0.28497853	0.22660944	0.6789699	0.40515023	0.89012873	5.03862635	0.1888412	0.4034335	0.55879825	0.04248927	1.0167382	0.88927037
0.23828435	8.367752	0.18427323	0.7331215	0.86576647	0.701945931	0.34710088	32.500397	0.2185597	13.9030973	86.42414	0.7593328	2.641514333	23.903097	0.032565527	0.19062748	0.16997616	0.20095313	0.051628277	0.82208097	5.6886419	0.60762507	1.1763304	0.8967434	0.072279584	0.84511517	0.9507545
