,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
AADAC,0.15127529,0.15127529,0.081521735,0.06641366,0.12165898,0.07441016,0.21704745,0.17585552,0.12618026,0.16282764
AAK1,0.3540897266,0.3540897266,0.5663043204,0.451043658,0.5837787866,0.4791288396,0.392091372,0.4855513578,0.71587978,0.4190627374
AAMP,4.6833773,4.6833773,4.395833,4.899431,4.7714286,4.392922,4.5650263,5.553232,5.6103,4.748213
AANAT,7.133685,7.133685,6.332427,5.6214423,5.5603685,6.061706,5.767135,6.447719,6.5982833,6.061954
AARS,17.675463,17.675463,19.265396,17.471537,18.718893,16.834846,11.122144,11.654943,8.775966,9.036536
AASDHPPT,5.75022,5.75022,6.695652,5.8681216,5.5456223,5.767695,4.9112477,5.6150193,4.472961,3.4837172
AASS,0.82673705,0.82673705,0.70833325,0.556926,0.767742,0.6206897,0.6572935,0.74334604,0.17596567,0.43288323
AATF,8.170625,8.170625,9.361413,8.579697,9.106913,10.1706,10.109841,12.926807,9.05837,7.7227955
AATK,3.5901499,3.5901499,5.334239,4.329222,4.3898616,5.6878405,4.7302284,5.4467683,3.4901288,4.783161
ABAT,0.423336293333333,0.423336293333333,0.423309188,0.324161916666667,0.556989243333333,0.377192983333333,0.326889283333333,0.36882131,0.74821173,0.305268726666667
ABCA1,2.27997666666667,2.27997666666667,2.14160620666667,2.17583821333333,2.28970815666667,1.79340598,2.5389571,1.756020362,2.24320446166667,2.61768582
ABCA12,0.068601586,0.068601586,0.08061594,0.05313093,0.050691243,0.06896552,0.17574692,0.1026616,0.11244635,0.10007943
ABCA2,2.233655902,2.233655902,2.11624390666667,2.43580017666667,2.923809392,2.87356330333333,3.41593424333333,2.76045627666667,3.26123034666667,3.05639382333333
ABCA3,3.2102025,3.2102025,3.3143115,2.8851993,2.8976958,3.2332122,2.8594024,3.688213,4.2403436,3.847498
ABCA4,0.22867195,0.22867195,0.14583333,1.0844402,0.46267283,0.22050817,0.7697715,1.3032321,0.15364806,0.17871326
ABCA5,0.120492525,0.120492525,0.11141304,0.19924098,0.14285715,0.3520871,0.3506151,0.17490496,0.08927038,0.23828435
ABCA6,0.14951628,0.14951628,0.0366847805,0.064990516,0.024423963,0.0567150645,0.024604569,0.126425861,0.066094421,0.11755361
ABCA8,0.011433598,0.011433598,0.011775361,0.029411765,0.237788,0.03357532,0.030755712,0.24144489,0.022317596,0.1683876
ABCB1,0.214599835,0.214599835,0.33378622,0.228178375,0.32304146,0.23593466,0.22012301,0.46625478,0.35879829,0.4324861
ABCB1 /// ABCB4,0.054529466,0.054529466,0.20018116,0.16129032,0.13179724,0.19328493,0.12038664,0.13688214,0.25665236,0.11517077
ABCB10,0.26297274,0.26297274,0.32699272,0.23908919,0.23686637,0.35934663,0.16432337,0.34885934,0.44721028,0.4845115
ABCB11,0.043095868,0.043095868,0.14855072,0.23244782,0.15207373,0.05807623,0.09314587,0.10076047,0.34248927,0.11040508
ABCB4,0.058047496,0.058047496,0.14039855,0.05313093,0.20276497,0.078947365,0.3251318,0.06368822,0.16480687,0.22160444
ABCB6,1.321899765,1.321899765,1.24954712,1.693548335,2.72672825,2.73729595,1.8466608,2.334125585,1.5416308,0.897537765
ABCB7,1.1072999,1.1072999,0.88134056,1.0275142,0.76313365,0.7250454,0.9376098,1.2585552,0.93991417,1.141382
ABCB8,0.60686016,0.60686016,0.4619565,0.34629983,0.5299539,0.50544465,0.51757467,0.6463879,0.70042914,0.48371723
ABCB9,1.9023747,1.9023747,2.5452898,2.1821632,1.7364055,1.923775,1.9982425,3.26616,2.4738197,1.9753772
ABCC1,1.3654354175,1.3654354175,1.41938399,1.2241461075,1.3923963125,1.502495475,1.4167399325,1.023764275,1.3922747125,1.3407465525
ABCC10,1.31486365333333,1.31486365333333,1.63254827333333,2.07368758666667,2.0113671,2.05414408333333,2.36496768666667,2.22084939,2.57997155,1.49139526666667
ABCC2,0.041336853,0.041336853,0.097826086,0.0370019,0.011059908,0.23774956,0.17223199,0.4524715,0.23690988,0.021445591
ABCC3,0.6583113365,0.6583113365,0.292119535,0.2314990625,0.6608295035,0.461887485,0.1942003475,0.57176814,0.34163091,0.2172359
ABCC4,1.5272647,1.5272647,1.58831515,1.2006641,1.02488478,1.28584395,0.94727588,0.62167305,1.28969955,1.48848285
ABCC5,3.3925536,3.3925536,3.64341766666667,3.168248,3.54285723333333,2.92256513333333,3.5518452,4.4939799,4.03719593333333,3.0976965
ABCC6,1.466139,1.466139,1.280797,1.2713473,1.2138249,1.1361161,0.76889277,1.8174906,1.9090128,1.4988085
ABCC6 /// ABCC6P2,0.8276166,0.8276166,0.89039856,1.2400379,0.9023042,1.4618876,0.56942004,0.83840305,0.77253217,0.4169976
ABCC8,2.77748465,2.77748465,2.77264475,2.63187855,3.0589862,3.1374774,2.50351485,3.34600785,2.9545065,3.10405075
ABCC9,0.637642968666667,0.637642968666667,0.65851449,0.295382666,0.602457791666667,0.663339385333333,0.629466918666667,0.219898612,0.239771101,0.792163094
ABCD1,1.8469658,1.8469658,1.5081521,1.439279,1.2847925,1.3675137,1.3356766,0.33650193,0.2746781,1.9245433
ABCD2,0.018469658,0.018469658,0.17210144,0.0768501,0.019354837,0.14246824,0.009666081,0.05418251,0.04120172,0.028594121
ABCD3,3.92876,3.92876,2.7382245,4.2020874,2.9069123,2.7813067,3.2671351,3.2452474,2.2995708,2.1620333
ABCD4,0.6649077,0.6649077,0.8822464,0.768501,0.6165899,0.8711434,0.6247803,1.046578,0.29871243,0.5766481
ABCE1,0.68161833,0.68161833,0.6548913,0.62144214,0.6202765,0.36842105,0.26625657,0.82889736,0.6412017,0.694996
ABCF1,2.4283204,2.4283204,2.9030795,2.565465,2.6801841,2.9691472,2.539543,3.0826998,3.1682403,2.678316
ABCF3,5.4942837,5.4942837,5.940217,5.118596,6.02765,5.3085303,6.8866434,5.292776,5.530472,4.7410645
ABCG1,0.47669306,0.47669306,0.45742753,0.68311197,0.5400922,0.6470055,0.50087875,0.6834601,0.5158798,0.8077839
ABCG2,0.41864556,0.41864556,0.428442,0.46679318,0.797235,0.8493648,0.60896313,1.1007606,0.87296134,0.4471803
ABHD14A,4.902375,4.902375,4.3759055,5.481973,4.6580644,5.6025414,5.035149,5.327947,5.632618,3.8975377
ABHD14A /// ACY1,11.687776,11.687776,11.910326,14.760912,13.586175,12.681489,14.014938,15.539926,16.492704,15.256553
ABHD2,3.909411,3.909411,3.7690217,2.9060721,3.619355,3.9101634,4.220562,3.681559,3.783691,5.5321684
ABHD3,0.005277045,0.005277045,0.23913042,0.024667932,0.19447005,0.22867516,0.20210896,0.19011408,0.14935622,0.14058778
ABHD5,0.25813545,0.25813545,0.22644927,0.21015181,0.182949305,0.2323049085,0.22407731,0.084125485,0.382403425,0.331215235
ABI1,2.26297282,2.26297282,2.4832427,2.6888046,2.31105988,2.533121625,2.34885755,2.27423975,1.88540765,1.816521085
ABI2,0.35114337975,0.35114337975,0.3245018125,0.3178368075,0.234792625,0.3843012975,0.317662563,0.2994296745,0.401072945,0.42474183
ABL1,2.93227807,2.93227807,3.25996376166667,2.70477543,2.80153608333333,3.053387755,2.85222596833333,2.67839053666667,2.85035761166667,2.71922147333333
ABL2,0.11873351,0.11873351,0.13677536,0.13757116,0.11612903,0.1261343,0.17574692,0.04847909,0.13304721,0.09293089
ABLIM1,0.9621812,0.9621812,1.6340579,1.093928,1.0764977,0.8829402,0.60896313,1.8916351,1.1227468,0.6878475
ABLIM3,0.27616537,0.27616537,0.054347824,0.27324477,0.16958524,0.05716879,0.5940246,0.077946775,0.06866953,0.061953932
ABO,4.1829376,4.1829376,4.3278985,4.370019,4.0350227,3.8883848,4.178383,4.011407,3.9793992,3.997617
ABP1,0.29727355,0.29727355,0.5362319,0.31214422,0.55023044,0.5254084,0.10105448,0.1958175,0.47982833,0.14058778
ABR,3.5364997,3.5364997,3.3315215,3.4876661,3.4682026,3.0480945,3.6652021,3.3840306,3.9433477,3.5043685
ABTB2,1.0562885,1.0562885,1.0353261,2.0986717,2.4995394,1.6016334,1.8321617,1.0589354,1.4154506,0.6854647
ACAA1,5.32409875,5.32409875,5.7001809,5.6674575,6.099539,5.57985485,7.12170465,7.597909,6.07553665,5.9650515
ACAA2,0.12225154,0.12225154,0.4003623,0.32258064,0.06543779,0.32667878,0.18189807,0.21387833,0.52017164,0.3169182
ACACA,4.3957787,4.3957787,4.1567025,3.2267554,3.181567,3.8058076,4.585237,2.1140685,4.3261805,5.625893
ACACB,1.16564066666667,1.16564066666667,0.98399755,1.24857685666667,0.90445471,1.35571694,0.983889823333333,0.642268716666667,1.23948503333333,0.794281106666667
ACADL,0.28320143,0.28320143,0.5788043,0.3918406,0.52811056,0.6551724,0.2539543,0.46482894,0.6738197,0.6012708
ACADM,7.2436237,7.2436237,7.9918475,6.614801,9.18894,8.023594,9.016696,10.170153,8.803433,5.755361
ACADS,3.1301672,3.1301672,3.6983693,3.3690703,2.9963133,4.03176,2.9929702,5.3032327,2.9450643,3.71247
ACADSB,3.2788038,3.2788038,5.1612315,2.9705884,3.6165898,3.4900184,3.413884,2.3460078,2.569957,1.98332
ACADVL,20.586632,20.586632,19.951992,19.876661,22.22857,23.656988,25.09754,24.838406,22.55794,16.694202
ACAN,0.0844327213333333,0.0844327213333333,0.100543477,0.128083496666667,0.17265745,0.168481553333333,0.142940823333333,0.17395438,0.146781116666667,0.0950489783333333
ACAP1,0.38258576,0.38258576,0.34239128,0.39373815,0.35760367,0.36842105,0.4692443,0.39543727,0.56824034,0.47895154
ACAP2,1.230431,1.230431,1.2382246,1.1821632,1.0608295,1.30853,1.159051,0.81654,0.94248927,0.8371723
ACAT1,0.58135444,0.58135444,0.4918478,1.0910816,0.4986175,0.50725955,0.91476274,0.46102664,0.76480687,0.8490866
ACAT2,0.89006156,0.89006156,1.0009058,1.0237192,0.8746544,0.8675136,0.8778559,1.2395438,1.1133047,0.8093725
ACBD3,4.0782766,4.0782766,3.5054348,4.6404176,4.2202764,4.3094373,4.1063266,3.3954377,4.0103006,3.3574266
ACCN1,2.8065085,2.8065085,3.4836955,1.5464896,2.6949308,3.511797,1.9191563,3.1406846,3.9304721,1.4741858
ACCN2,0.9577837,0.9577837,1.1304348,1.1328274,1.0884793,1.2223231,1.056239,0.9885932,1.0068669,0.6528991
ACCN3,1.9956025,1.9956025,1.8324275,1.455408,2.440553,2.3883848,2.7618628,2.7709126,2.046352,1.1231135
ACD,6.85752,6.85752,5.5190215,6.2419357,5.0894012,4.3339386,5.834798,4.560837,4.690987,5.700556
ACE,0.2708883,0.2708883,0.3333333,0.37286526,0.58986175,0.415608,0.3857645,0.21007606,0.24635194,0.59015095
ACHE,0.64204048,0.64204048,0.903683566666667,0.624920943333333,0.639938566666667,0.735027263333333,1.29554775,0.832065953333333,0.714163076666667,0.813343946666667
ACIN1,7.746702,7.746702,6.9402175,6.9449716,7.2460833,8.655172,6.897188,9.678708,8.565665,6.8212867
ACLY,14.675462,14.675462,14.908514,14.388994,11.552996,11.01089,9.13884,12.313689,13.09957,9.628276
ACO1,4.608619,4.608619,4.5181155,4.79222,4.7179723,4.0707808,4.326889,4.964829,4.1562233,4.130262
ACO2,4.421284,4.421284,4.669384,7.1309295,6.6930876,6.1769514,5.398946,5.4420156,5.5802574,4.746624
ACOT1 /// ACOT2,8.44767,8.44767,9.340579,8.8206835,9.032258,9.935573,9.667838,10.63403,7.5974245,7.2486095
ACOT11,0.7651715,0.7651715,0.923913,0.68880457,0.7917051,0.79128855,0.97627413,0.87547535,1.4188842,1.034154
ACOT13,4.32937565,4.32937565,4.32427515,4.6143265,5.3926265,4.5113432,5.1968365,6.3987643,4.1562233,3.7001586
ACOT7,7.3157434,7.3157434,6.9021735,7.329222,6.197235,6.2640653,5.945518,6.025666,5.5802574,4.752979
ACOT8,3.2981532,3.2981532,3.2998185,3.4611006,3.4184332,4.353902,3.9850614,2.4192016,3.623176,3.7847497
ACOX1,1.53781895,1.53781895,1.4846014,1.5246679,1.9294932,1.66379315,2.0430579,1.9705324,1.46008585,1.54130265
ACOX2,0.8258576,0.8258576,0.7028985,0.8519924,0.35115206,0.30671507,0.40070295,0.90969586,0.5141631,0.47815725
ACOX3,0.7185576,0.7185576,0.08967391,0.1480076,0.113364056,0.12341198,0.08084358,0.18155895,0.09699571,0.17394757
ACP1,10.25066,10.25066,10.849638,11.379507,11.359447,12.314882,9.1634445,9.53232,9.806008,9.842731
ACP2,3.2119615,3.2119615,2.4981883,3.500949,2.6230416,3.3366609,2.979789,3.2927759,2.3244634,2.1096108
ACP5,0.6543536,0.6543536,0.27989128,0.65275145,0.96313363,0.30308533,0.17311072,0.28422055,0.8412017,0.2359015
ACPP,0.78144245,0.78144245,1.0348732,0.72058824,0.68294929,0.755444665,0.550966605,0.96482895,0.95879825,1.30619545
