,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
AAP1,12.56261253,12.51610006,12.49997213,12.51851912,3.4733,2.7556,4.3187,3.5591,4.3964,4.8634,4.3644,3.4831,4.7992,4.2784,2.7824
AAR2,8.702837667,8.310288616,8.532061496,8.60862717,3.3967,2.9878,3.3441,3.2788,3.5022,3.9523,4.4995,3.6397,3.0677,3.4559,3.1138
AAT1,10.70712404,10.66581019,10.62072955,10.45020615,4.3087,3.354,3.7766,3.5048,4.3336,3.369,2.8957,3.0118,4.7204,4.6807,3.9586
ABC1,11.90941751,11.86660403,11.80379572,12.11911441,1.1562,0.922,1.1641,1.0304,1.4533,1.1672,1.2097,0.981,1.0937,0.865,0.9213
ABP1,13.20427544,12.99591603,12.72839198,13.51586568,0.7504,0.8949,0.8575,0.7991,1.1909,1.0177,0.9856,0.9307,0.762,0.4831,0.8036
ACE2,10.58258845,10.47715119,10.52558396,10.95357135,1.7791,1.1159,0.592,0.3848,0.2262,0.0524,0.1035,0.6452,1.1521,0.8753,1.6936
ACP1,13.19529318,13.63311091,13.39602205,13.7803718,9.2183,8.0761,8.8476,8.4967,7.6906,8.1269,9.1287,8.5124,9.5757,9.2795,8.4964
ACT1,15.43751841,15.44176946,15.31947306,15.52389482,20.1179,19.6664,20.1855,19.0825,21.4875,22.9739,20.117,21.1903,23.0874,22.0902,22.4498
ADA2,10.62080115,9.928745155,9.914834479,8.479845956,1.0386,1.006,1.3268,1.0667,0.8035,0.8347,0.9067,1.0801,0.949,0.8101,0.9846
ADE1,12.6629354,12.94019014,12.98146096,12.69424083,10.6373,10.1339,9.0829,7.5007,6.1597,4.9409,4.9522,7.5047,8.3135,8.2665,11.9963
ADE2,13.38629277,13.56703872,13.51696025,13.48539576,13.7682,11.8555,12.6042,12.1814,11.5949,13.0939,13.1675,14.8182,16.1271,16.835,15.9232
ADE4,10.31230266,10.61581702,10.70017683,9.968465036,9.4601,9.4135,9.206,8.5924,7.9819,7.1162,6.6656,6.7746,8.6829,8.5841,11.114
ADE5,13.58682359,13.83355661,13.86575488,13.63584089,5.3571,6.4993,4.5047,5.355,3.2654,2.0654,2.2986,4.2204,4.1749,5.5742,6.2561
ADE6,13.13976202,13.45568093,13.54607971,13.09568378,4.921,4.2352,4.0353,3.8581,4.3438,3.1707,3.0025,4.0527,5.1352,4.9917,5.2832
ADE8,13.54476262,13.54969724,13.58886342,13.55884091,12.1485,11.0794,10.8936,10.0536,10.0911,6.884,6.3491,8.7377,11.4866,12.9548,15.3391
ADK1,14.5151875,14.44039064,14.46439475,14.58291865,13.3976,14.8826,12.8727,14.4357,13.968,10.7115,10.3682,12.7646,11.7343,14.5783,15.2374
AIF1,13.22687556,13.24553339,13.26026531,13.27382498,0.8696,1.2188,2.0751,1.9169,2.6235,2.0335,1.6144,1.3994,1.4887,0.6682,0.7994
AIR1,3.118267904,3.369196252,4.24160401,4.275007576,4.0307,3.9102,3.1106,3.303,2.4466,1.4789,1.7897,2.3129,2.9606,3.4621,3.7593
AKR1,13.686483,13.46616875,13.50942458,13.71912854,0.424,0.591,0.4516,0.5559,0.6324,0.4729,0.4695,0.4865,0.496,0.4908,0.405
ALA1,13.89161255,14.02325075,14.05435632,13.82528549,7.2504,8.0792,6.7616,8.0278,8.8969,6.0173,5.2709,6.7295,8.0697,7.0197,8.1041
ALG1,12.05655271,12.07884663,12.09960266,12.13031907,1.4753,0.9396,1.5131,1.0261,1.4014,1.7314,1.7388,1.2117,1.5851,1.527,1.2563
