ID,adj.P.Val,P.Value,t,B,logFC,Gene Symbol
1773938_at,7.58183760314905e-07,1.3875983900346e-10,76.3044849373305,14.471796408978,6.0352674335,SRX1
1779904_at,2.93697446242219e-06,8.28680827688973e-10,57.4366324842338,12.4138659141092,8.14866836,YHK8
1769952_at,2.93697446242219e-06,1.07502725564502e-09,55.107996487256,12.1136557202997,1.3546861175,SFA1
1773548_at,5.13288073298296e-06,2.3484996033048e-09,48.6665646114619,11.2117511100321,2.9256239175,CYC1
1769321_at,1.83798631993497e-05,1.17733384329656e-08,37.6490874488542,9.34929154319546,1.72861599,AIF1
1779613_at,1.93185875357637e-05,1.41424506118328e-08,36.5648480341738,9.13736059667097,2.9399281775,GTT2
1772192_at,1.99816610128502e-05,1.80829798921869e-08,35.1597528086865,8.85322191202715,1.1066151925,DRE2
1775331_at,1.99816610128502e-05,1.82848288917004e-08,35.0975741422024,8.84038886492742,7.79488245775,OYE3
1773816_at,5.24805499084323e-05,6.13960271831402e-08,28.927628183006,7.43985298612731,3.52889395,GPX2
1776725_at,5.24805499084323e-05,6.2431108053589e-08,28.8504500363586,7.42052025518327,1.7844815775,ISU2
1774696_at,6.16595004446102e-05,9.02774530667792e-08,27.1985721549841,6.99402140019333,1.93483565,HSP31
1776407_at,7.99906705490919e-05,1.31756228942501e-07,-25.6020454161917,6.55683656657806,-0.710661860000002,ALK1
1771624_at,8.36264708089067e-05,1.53049909972377e-07,24.9952377022352,6.38360276165679,2.25741173,TSA2
1778040_at,8.73303374835549e-05,1.67820011635675e-07,24.629114422536,6.27707182409156,1.9784307425,ECM4
1773123_at,0.000101186389808356,2.08537367617084e-07,23.7865555644654,6.02589078650799,0.681942860000001,ALG7
1778769_at,0.000101186389808356,2.12965498315536e-07,23.7065722571532,6.00159494772807,1.3952258615,SFK1
1772791_at,0.000141469566924074,3.12110561762071e-07,22.2967562024165,5.55964893503052,0.8868042025,CCP1
1774211_at,0.000156868772068786,3.87578408295866e-07,21.5347457584269,5.3092724003991,0.311583035000002,TSA1
1777424_at,0.000160980314098297,4.12467861891684e-07,21.3204889070304,5.23731659973792,1.536256195,YHI9
1778857_at,0.000169486192796841,4.49771192451354e-07,-21.0258978653264,5.13722315770849,-0.646772835000002,DUR1,2
1770534_at,0.000172203932095145,4.7274139484392e-07,20.8582239378084,5.07964120234925,0.977217660000001,LSB6
1775386_at,0.000174795539971919,5.02845618395008e-07,20.6522145530545,5.00827468093507,3.73801974525,ATR1
1771703_at,0.000174795539971919,5.11846383519529e-07,20.5933791928249,4.987765643915,2.30256072,LYS20
1771716_s_at,0.000219395051727993,7.02674488513886e-07,19.5696217207568,4.62148927623058,1.6428201375,AAD16 /// AAD4
1778409_at,0.000234873682039502,7.73741997933939e-07,19.2682785566909,4.51013247561492,0.750343295,UBA4
1774511_at,0.000235499637083983,8.25174579127854e-07,19.0695016023916,4.43575111271393,2.7355107285,AAD4
1777723_at,0.000235499637083983,8.40454414922706e-07,19.0131966319337,4.41454576920239,1.8082098425,CYT2
1774121_at,0.000239795287225404,8.77727991308214e-07,-18.8806712571721,4.36439405852634,-0.932307832499999,RCR1
1778929_at,0.000249944628059426,9.39237057917853e-07,18.675608069129,4.28611751248219,0.476889297500001,ADO1
1776211_at,0.000249944628059426,9.60621740345523e-07,18.6079272887152,4.26010020343989,0.261274019999998,SET1
1773952_at,0.000263376323633552,1.04014621428196e-06,18.3707136113986,4.16818587615568,0.605986637499999,ARG2
1776664_at,0.000279386929452221,1.15047692398883e-06,18.0742374236609,4.05168634259638,5.7574887045,DAK2
1770566_at,0.000280260611712412,1.19788828650837e-06,17.956780156072,4.00502197035463,1.93723907,CIN5
1771636_at,0.000280260611712412,1.20536683295053e-06,17.9387440460939,3.99783042574222,0.598477477499999,VID27
1777707_at,0.000286254375520252,1.28224198940169e-06,17.7605214564954,3.92639123109583,1.3498861725,FMP23
1775364_at,0.000286254375520252,1.28353444367609e-06,17.7576315291287,3.92522715278912,1.1256480975,HSP30
1778240_at,0.000288002267347451,1.31772633303189e-06,17.6823773606457,3.89485005736366,1.726315048,MMT1
1777461_at,0.000308032556492716,1.43756043019111e-06,17.4354212478493,3.7942834490072,1.5826401225,IBA57
1779741_at,0.000318950552691718,1.55191200198375e-06,17.221006683507,3.7058529506271,0.951370470499999,KTR2
1779445_at,0.000318950552691718,1.63287912233455e-06,17.0799464725574,3.64709794367998,1.04260867,YCF1
1773425_at,0.000318950552691718,1.64196699705561e-06,-17.0646198391992,3.64068603210958,-0.7752189775,HEM14
1775044_at,0.000318950552691718,1.65025235464241e-06,17.0507318391075,3.63487120558898,0.698027037499999,LYS2
1769586_at,0.000318950552691718,1.68479648219998e-06,16.9936847785637,3.61093821628933,2.0361837105,YAP7
1776829_at,0.000334459129098169,1.80573651324963e-06,16.8041208962003,3.53085389143695,1.3837000325,HBN1
1776154_at,0.000340141574444722,1.86754158736121e-06,16.7128289782057,3.49197711611316,0.664437672499998,ALG14
1775055_at,0.000345226126756902,1.92704920682385e-06,-16.6281711662965,3.45574350582307,-0.54573995,SRD1
1775322_at,0.000369177419384083,2.09452781861394e-06,16.4052425334339,3.35947957806262,1.3046078125,CCS1
1771055_at,0.000413032460067162,2.41893095207708e-06,-16.0267932354511,3.19316307180302,-0.409616284999998,RPL18B
1776734_at,0.000414347564855031,2.46454902228926e-06,15.9783085390694,3.17158555637344,0.1729174675,RPN1
1778053_at,0.000431755865588453,2.64002902855188e-06,15.8010219792259,3.09215196665658,1.91251066975,YRO2
1773970_s_at,0.000435946624990604,2.71991326012586e-06,15.7247711855539,3.05772649319196,3.9576009075,HXT11 /// HXT9
1772997_at,0.000435946624990604,2.78774980827816e-06,15.6620239691822,3.02927829194607,2.0574558725,GRE2
1778271_at,0.000435946624990604,2.80766273040664e-06,15.6439392996706,3.02105898673546,1.794138415,ROX1
1775218_at,0.000435946624990604,2.83237649838332e-06,15.6216995262485,3.01093883669035,0.877918192500001,GND1
1772371_at,0.000474412087330369,3.16911441939211e-06,15.3392855295698,2.88122304606749,0.520195784999999,UBX6
1771078_at,0.00048666376650409,3.33947527048059e-06,15.2093196326775,2.82076519908428,4.81302786225,FRM2
1773369_at,0.00048666376650409,3.38040553664409e-06,15.1792337790586,2.80670000683201,0.906508197500001,ALO1
1773993_at,0.000504774687177406,3.55670304837667e-06,15.0542896225915,2.74800443018768,0.785119180000001,SOD2
1777569_at,0.000513744977838081,3.66692059584281e-06,-14.9797569268761,2.71277088700858,-0.8200471225,HSP26
1773961_at,0.000517264314221736,3.8206940961278e-06,14.8799847602119,2.66534552010286,2.1581368965,GND2
1777080_at,0.000517264314221736,3.86793675319005e-06,14.8502608257179,2.65115851217483,1.3629334825,GSH1
1770363_at,0.000517264314221736,3.88137571066822e-06,14.8418818938426,2.64715446266869,2.7274705365,TAH18
1774375_at,0.000520726659990394,4.00265734253231e-06,14.76774806443,2.61163471076262,0.289200152500001,TRX2
1770948_at,0.000525590489815873,4.09652994845248e-06,14.712126986722,2.58487422486582,0.16736422,RPL10
1776933_at,0.000525590489815873,4.13623555308978e-06,14.6890420406573,2.57373950701646,1.4479859875,AFT2
1770754_at,0.000532400581022553,4.23854781743797e-06,14.630717602612,2.54553374531667,0.880697200000002,ADH6
1772874_at,0.000602013837303029,4.84784202806246e-06,14.3140232625786,2.39050455392556,0.943860295,TIR2
1773987_at,0.000607030203678721,4.94378551678314e-06,14.2683613178524,2.36788604932834,0.785733405,SFH5
1773853_at,0.000622282521920312,5.1818914252149e-06,-14.1593247928045,2.31359859845306,-0.435969082499998,LAC1
1771643_at,0.00069389215038878,5.90187164901415e-06,13.8618431434573,2.16346610079433,0.392048665000001,HSV2
1774152_at,0.0007376893916903,6.34542485531554e-06,13.6987179291266,2.07985323287794,0.4621456475,GLR1
1778766_at,0.0007481930170817,6.57270586016135e-06,-13.6201528938495,2.03925028360262,-1.0829937925,OAC1
1778300_at,0.000777072985973808,6.96862670437712e-06,13.4905068853557,1.97176720710011,0.370264264999999,MAK32
1777721_at,0.000808408699033033,7.41960497123715e-06,-13.3528090076529,1.89942673170705,-0.510293724999999,FMS1
1776384_at,0.000808408699033033,7.42217131547506e-06,13.3520532943718,1.89902779649318,0.929110042500001,YCT1
1777949_at,0.000808408699033033,7.47156648996489e-06,13.3375663332837,1.89137616946394,0.578418752499998,WHI2
1777457_s_at,0.000813242550465479,7.59066070163606e-06,13.3030872585822,1.87313403837626,1.3536079675,AAD15 /// AAD3
1778121_s_at,0.0008142678184378,7.67474243220108e-06,13.2791184418546,1.86042668130945,2.187914125,PAU15 /// PAU16 /// PAU21 /// PAU22 /// PAU3
1769936_at,0.000825017481986321,7.85155729562385e-06,13.2296885119941,1.83415321064407,0.817191752499999,DOA4
1779604_at,0.000832005963959673,8.07033603401586e-06,13.170275705804,1.80245233915462,1.4101312675,ARO2
1770515_x_at,0.000844889950359897,8.27262304982696e-06,13.11697193408,1.77389762299848,1.74323486525,PAU4
1770767_at,0.00086497106927622,8.69371228126575e-06,13.0106821063507,1.71663491977673,1.0309949675,AGX1
1775178_at,0.00086497106927622,8.70670000186532e-06,13.007498768189,1.71491322992521,1.3205815025,KSS1
1779767_at,0.000893453126651202,9.07515529449885e-06,12.9194044476056,1.6671120634917,0.670992307500001,ECM31
1771744_at,0.00100743837712602,1.03721796091726e-05,12.639258272857,1.51306681358357,0.907668172500001,MRS4
