ABP1	ADA2	ADE4	AIR1	ARX1	ATG17	CGR1	CNS1	COG3	CYR1	DAD2	DAK2	DBP3	DBP7	DBP8	DIM1	DRS1	EBP2	EPL1	FBP1	FMT1	GIT1	HOP1	HOS2	KAP123	MED7	MRPL4	MSA1	MSH1	MSH3	MTR4	NRM1	PAN1	PDS5	PHO4	POL4	PPR1	PUF3	PUF6	PUS2	PUT4	REC8	RNH201	RPA12	RPA43	RRP12	SCM3	SDS23	SLD5	SNU66	SPB1	SPO20	SWF1	TEA1	TRM9	UTP10	UTP13	UTP20	UTP4	VRP1	YOX1	ZDS1
0.7504	1.0386	9.4601	4.0307	6.1996	1.8755	11.2535	2.7086	0.6563	1.1954	0.4661	0.8678	6.932	0.9536	1.5148	6.9284	9.2456	5.695	0.3451	0.2393	0.2223	1.3671	0.0898	0.5759	9.4008	0.4988	3.5913	0.6841	1.2207	0.5112	4.1777	1.5107	1.6861	0.5812	3.6055	0.0317	2.2282	0.7422	5.1767	1.088	1.1772	0.0694	1.5442	7.0288	8.6022	1.7701	0.5223	4.6043	5.511	1.9671	3.739	8.9188	2.5183	1.0091	1.9097	3.7795	1.9293	3.9998	2.3913	0.8199	1.2951	1.1747
0.8949	1.006	9.4135	3.9102	7.3911	1.5627	10.9243	2.202	0.7532	1.3438	0.4445	1.3381	5.4737	0.8806	1.2329	6.0451	8.2885	5.8361	0.4055	0.2735	0.2331	1.2721	0.1039	0.4353	10.3166	0.5329	3.1239	1.1618	1.597	0.8218	4.0758	1.7348	1.6308	0.5695	2.8403	0.0649	1.97905	0.6656	5.852	1.0777	1.7245	0.0633	1.3136	8.4663	9.4242	1.8825	0.4585	2.7775	4.2842	1.8706	4.2943	8.573	1.6337	1.0335	1.7477	4.3211	1.8437	4.1988	2.6743	0.8668	1.1483	1.3669
0.8575	1.3268	9.206	3.1106	4.5194	1.7039	8.4213	2.4609	0.6532	1.1769	0.3464	0.7795	2.7157	0.4901	0.8583	5.8459	8.1681	2.909	0.3628	0.3173	0.195	1.2478	0.1525	0.518	7.9595	0.4426	3.1709	0.3131	1.1932	0.4782	3.6609	1.2489	1.3163	0.4887	2.5965	0.0435	2.26945	1.3458	3.469	1.2487	1.0618	0.0979	1.4029	4.8219	7.3189	1.2988	0.6464	4.7142	4.5207	1.3973	2.4419	9.8123	2.5719	0.8649	1.5987	2.906	1.3341	2.766	1.8425	0.7504	1.1053	1.1313
0.7991	1.0667	8.5924	3.303	5.504	1.8579	6.6424	1.9896	0.8161	1.5263	0.3482	1.4209	1.8943	0.5054	0.7595	4.9962	7.8204	2.2916	0.5112	0.2736	0.2053	1.3991	0.1406	0.4172	8.2114	0.5467	3.004	0.7726	1.2399	0.7866	3.098	1.201	1.3764	0.5773	1.8438	0.0577	3.0265	1.1666	3.9609	1.2267	2.358	0.1374	1.385	5.3519	6.9063	1.3012	0.5418	3.8376	3.6596	1.3833	2.3075	10.6452	1.949	0.8907	1.5141	2.8019	1.2198	2.8473	1.9441	0.8461	1.1012	1.3494
1.1909	0.8035	7.9819	2.4466	3.1457	2.3544	2.6524	1.3529	1.1254	2.0502	0.3503	1.0934	1.571	0.6097	0.5431	3.599	11.3477	1.8021	0.5247	0.3328	0.1881	1.5649	0.2055	0.4378	4.7841	0.4782	2.2247	0.7006	1.7333	0.7299	2.7766	0.9819	1.7658	1.0411	1.3526	0.0501	5.9606	1.8886	2.514	1.1334	3.2879	0.1709	1.2905	2.7822	5.1078	1.1582	0.7157	7.0785	3.1824	1.3257	1.8263	9.3979	2.3292	0.9307	0.8097	3.2369	1.1707	2.5671	1.5685	1.109	0.9971	1.9114
1.0177	0.8347	7.1162	1.4789	2.3308	4.4095	2.7933	1.3367	0.6591	1.7484	0.503	0.7529	0.8516	0.3017	0.4969	3.838	9.2004	1.5909	0.3569	0.4249	0.1078	1.5274	0.1936	0.3597	4.1656	0.2204	2.3488	0.2799	1.52	0.3874	1.9092	1.0712	1.2937	0.762	0.8058	0.0484	8.72625	2.1319	2.0357	1.2717	0.7344	0.0991	1.0658	2.3086	4.0734	0.7592	0.9202	8.4264	4.4685	1.3442	1.1824	10.3159	2.2544	0.7433	0.8766	1.6582	0.8417	1.5736	0.6786	0.6487	1.4091	1.3592
0.9856	0.9067	6.6656	1.7897	2.6268	4.151	4.1604	1.5594	0.6699	1.6165	0.6774	0.8953	1.085	0.3713	0.7468	4.6924	8.4095	2.1272	0.3459	0.5843	0.1772	1.5847	0.264	0.4234	4.5282	0.2869	3.2116	0.4056	1.4986	0.4133	1.9641	0.9853	1.2922	0.8654	0.987	0.0973	8.916	1.8259	2.2842	1.4018	0.4147	0.1137	1.212	2.8067	4.3906	1.0164	0.9041	6.6388	4.8661	1.6914	1.5104	9.2086	2.1345	0.6885	1.2185	1.7435	0.9224	1.8451	0.8002	0.7434	1.9308	1.261
0.9307	1.0801	6.7746	2.3129	5.317	3.3797	6.5476	2.1646	0.6559	1.6968	0.7033	1.7693	2.3444	0.5925	1.5002	4.7304	6.9319	3.7265	0.3906	0.3263	0.2365	1.1612	0.1926	0.4532	8.0311	0.4132	3.0184	1.5306	0.9497	0.631	2.5029	1.5525	1.516	0.5884	1.6568	0.0596	5.61315	0.8098	2.6386	0.8285	0.6504	0.082	1.6273	4.9644	5.129	1.1046	0.6176	3.7528	4.9246	1.432	2.097	9.6928	2.0551	0.5308	1.8551	2.3405	1.4601	2.3371	1.4293	0.8631	2.1401	1.1434
0.762	0.949	8.6829	2.9606	4.696	2.684	7.6941	2.3585	0.8193	1.1344	0.6533	1.0999	3.5547	0.7118	1.2934	5.8974	11.6001	4.2832	0.3414	0.2259	0.287	1.1994	0.2805	0.5027	8.2843	0.5892	3.2622	0.7258	1.6179	0.6129	2.7356	1.6407	1.2973	0.6225	2.5608	0.0593	6.36305	0.7672	4.0801	1.03	0.8471	0.0825	1.7714	4.7974	6.1658	1.2968	0.5846	4.5533	4.9549	1.7084	2.5379	8.1302	2.5477	0.6772	1.746	3.025	1.5428	3.0361	1.7223	0.6779	2.0836	1.1271
0.4831	0.8101	8.5841	3.4621	7.2432	2.2113	11.0039	3.1961	0.7009	0.9823	0.5766	0.7489	5.3475	0.9976	1.8097	6.2798	9.4464	5.7576	0.2936	0.1897	0.2441	1.041	0.2061	0.4626	10.3087	0.7032	3.0789	0.737	1.4595	0.619	2.8673	1.4507	0.9756	0.5034	2.5564	0.0451	4.09225	0.6087	5.9494	1.211	0.9044	0.0731	1.9807	7.7592	7.7514	1.4212	0.7129	3.1937	5.1278	1.8382	3.5861	9.432	2.92	0.6906	2.2363	3.3303	1.5332	2.8089	2.2498	0.6027	1.4942	0.9133
