,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
aah2,0.895,0.9021,0.7421,0.7786,0.6484,1.0582,1.4001,1.5891,1.0796,1.0799,1.1615
aah3,2.9061,2.5241,2.3066,2.2907,2.5469,1.84,1.7164,2.2827,3.0856,2.6921,2.941
aap1,3.4733,2.7556,4.3187,3.5591,4.3964,4.8634,4.3644,3.4831,4.7992,4.2784,2.7824
aar2,3.3967,2.9878,3.3441,3.2788,3.5022,3.9523,4.4995,3.6397,3.0677,3.4559,3.1138
aat1,4.3087,3.354,3.7766,3.5048,4.3336,3.369,2.8957,3.0118,4.7204,4.6807,3.9586
abc1,1.1562,0.922,1.1641,1.0304,1.4533,1.1672,1.2097,0.981,1.0937,0.865,0.9213
abc2,0.8105,0.8173,0.7033,0.8486,1.2197,1.2081,1.1067,0.9822,1.0003,0.847,0.8544
abc3,3.3417,1.9638,3.3621,2.5405,2.5941,5.4346,5.9126,2.1008,2.0233,1.4417,1.7684
abc4,4.0472,3.6587,3.9439,3.8305,4.9184,5.5336,5.0302,3.7576,4.0965,2.9976,3.6344
abp1,0.7504,0.8949,0.8575,0.7991,1.1909,1.0177,0.9856,0.9307,0.762,0.4831,0.8036
abp2,1.6254,0.9211,0.6957,0.4775,0.3274,0.2429,0.6797,1.1796,1.7498,1.0368,1.3407
ace2,1.7791,1.1159,0.592,0.3848,0.2262,0.0524,0.1035,0.6452,1.1521,0.8753,1.6936
acp1,9.2183,8.0761,8.8476,8.4967,7.6906,8.1269,9.1287,8.5124,9.5757,9.2795,8.4964
acp2,6.4463,8.93,6.5845,9.1677,9.2723,6.6106,6.7562,7.9843,7.0096,7.491,8.1675
acr1,2.215,2.2163,1.7487,1.8578,1.6876,2.1323,2.5408,2.6806,2.4588,2.5972,2.4245
act1,20.1179,19.6664,20.1855,19.0825,21.4875,22.9739,20.117,21.1903,23.0874,22.0902,22.4498
ada1,2.8094,2.7801,3.2342,3.3789,4.7769,4.4785,3.8357,3.6946,3.0893,2.5527,3.1761
ada2,1.0386,1.006,1.3268,1.0667,0.8035,0.8347,0.9067,1.0801,0.949,0.8101,0.9846
ade1,10.6373,10.1339,9.0829,7.5007,6.1597,4.9409,4.9522,7.5047,8.3135,8.2665,11.9963
ade10,11.8282,11.1904,11.3728,8.7694,8.6435,6.653,6.1419,8.5834,10.7004,9.4547,12.0306
ade2,13.7682,11.8555,12.6042,12.1814,11.5949,13.0939,13.1675,14.8182,16.1271,16.835,15.9232
ade3,9.7333,10.5171,9.3659,9.0251,8.536,7.7754,7.4719,9.3986,9.7978,9.1944,10.8491
ade4,9.4601,9.4135,9.206,8.5924,7.9819,7.1162,6.6656,6.7746,8.6829,8.5841,11.114
ade5,5.3571,6.4993,4.5047,5.355,3.2654,2.0654,2.2986,4.2204,4.1749,5.5742,6.2561
ade6,4.921,4.2352,4.0353,3.8581,4.3438,3.1707,3.0025,4.0527,5.1352,4.9917,5.2832
ade7,5.0981,5.885,4.6439,5.5661,6.3748,6.1999,6.2058,9.8401,9.2526,8.5046,7.8857
ade8,12.1485,11.0794,10.8936,10.0536,10.0911,6.884,6.3491,8.7377,11.4866,12.9548,15.3391
ade9,3.5753,3.6677,2.8046,2.297,1.8924,0.8779,0.963,1.9123,2.2722,2.9667,4.6333
adf1,25.4587,23.2961,23.7998,23.301,22.9716,26.327,27.1049,24.0154,25.5356,25.4211,23.045
adg1,5.8543,10.2269,5.6006,8.581,5.5681,0.4466,0.2834,1.1075,2.4831,3.8132,5.7455
adg2,3.312,3.8687,2.9642,3.6049,2.0827,0.4018,0.3006,0.8444,1.7419,1.6354,2.7412
adg3,1.3864,1.182,1.2275,1.1073,1.1829,0.6149,0.4722,0.3426,0.5746,0.725,0.8779
adh1,23.9262,24.2923,23.0276,19.7792,16.9794,21.2828,17.7566,21.9398,25.0355,25.4831,26.9664
adh4,2.7675,2.6887,2.6035,3.3905,3.5338,1.9654,2.2006,4.5239,4.1439,4.6975,5.4116
adk1,13.3976,14.8826,12.8727,14.4357,13.968,10.7115,10.3682,12.7646,11.7343,14.5783,15.2374
adl1,0.2521,0.2557,0.2618,0.2804,0.4057,0.2806,0.3121,0.2968,0.3154,0.2561,0.2338
adn1,1.1502,0.8035,0.8856,0.7267,0.8035,0.6506,0.7686,0.9863,0.9331,0.9523,1.3477
adn2,1.1291,1.089,1.0096,1.1124,1.5154,0.8998,0.9546,1.0179,0.9307,0.6976,1.0992
adn3,0.874,0.7978,0.6588,0.746,0.7485,0.5629,0.6705,0.8107,0.6438,0.6613,0.9866
aes1,2.9594,2.383,3.6753,5.1499,8.0809,15.5868,18.346,15.9469,14.957,7.4578,4.573
agl1,0.4509,0.4357,0.5651,0.4963,0.4832,0.4221,0.4915,0.4982,0.3402,0.4078,0.5461
agn2,1.0477,1.0166,0.9334,1.0419,1.093,0.8026,0.7902,1.0676,1.0519,1.093,1.7704
ago1,0.6234,0.6084,0.6645,0.7293,0.8667,0.7652,0.7926,0.7259,0.5541,0.5275,0.813
ags1,4.6891,3.8697,4.3318,4.0453,4.2569,2.7948,2.4273,4.2094,4.7053,3.9794,6.0115
aif1,0.8696,1.2188,2.0751,1.9169,2.6235,2.0335,1.6144,1.3994,1.4887,0.6682,0.7994
aim22,0.4176,0.2593,0.3103,0.2765,0.5729,0.411,0.324,0.2563,0.5542,0.4269,0.3445
aim27,2.913,4.012,2.9013,3.7606,3.233,3.3194,3.6066,4.0983,3.224,3.4942,3.6468
ain1,2.1355,1.9048,2.1615,1.7208,1.8891,1.5004,1.4322,1.6512,2.1006,1.8796,2.2692
air1,4.0307,3.9102,3.1106,3.303,2.4466,1.4789,1.7897,2.3129,2.9606,3.4621,3.7593
akr1,0.424,0.591,0.4516,0.5559,0.6324,0.4729,0.4695,0.4865,0.496,0.4908,0.405
ala1,7.2504,8.0792,6.7616,8.0278,8.8969,6.0173,5.2709,6.7295,8.0697,7.0197,8.1041
alg1,1.4753,0.9396,1.5131,1.0261,1.4014,1.7314,1.7388,1.2117,1.5851,1.527,1.2563
alg10,1.6386,1.3225,1.6669,1.4844,1.6649,1.3369,1.3232,1.1742,1.5819,1.758,1.5721
alg11,1.1687,1.0604,1.1988,1.1943,1.8944,1.7657,1.2012,1.0069,1.2252,0.9513,1.0065
alg12,2.7859,2.05,2.8902,2.3443,3.1202,3.245,3.1605,1.9435,2.174,2.3599,2.1953
alg13,1.8311,1.9224,1.9214,1.9922,1.894,2.0714,2.4173,2.0067,1.6802,1.8619,1.8389
alg14,1.6325,1.2527,1.5419,1.3579,1.1218,1.2084,1.4248,1.4052,1.5116,1.7451,1.6702
alg2,3.0438,2.0124,3.0688,2.14,2.7705,2.7464,2.7471,1.8781,3.0027,2.5042,2.2314
alg3,2.778,1.866,2.2167,1.6236,2.4235,2.1579,2.0301,2.0569,2.9898,3.2338,3.0033
alg5,1.7214,1.3348,1.6207,1.2678,1.7296,1.4857,1.2958,1.2672,1.4319,1.8495,1.9574
alg6,1.7252,1.0216,1.6308,1.0777,1.4507,1.2622,1.1619,1.0429,1.6402,1.1717,1.0419
alg8,2.7297,1.3387,2.8315,2.1193,2.9692,3.3725,3.1646,1.7841,2.886,1.9547,1.8094
alg9,2.4886,2.5058,2.606,2.3195,3.4598,3.1255,2.6622,2.2321,2.9017,2.6718,2.4451
alm1,2.8297,2.2562,2.4654,2.1654,2.5611,2.5618,2.7745,2.0911,2.5906,2.0942,2.3332
alo1,3.9516,3.382,4.1566,3.5708,4.6118,5.2715,5.5032,3.942,3.9817,3.2261,3.3498
alp1,1.4353,1.3179,1.3599,1.3326,1.49,1.3801,1.3339,1.3837,1.5059,1.9034,1.6225
alp11,4.9731,4.5439,5.5678,5.411,5.7245,6.6158,7.5214,5.2371,5.0467,4.5479,4.1362
alp13,2.0288,2.2614,1.851,2.3981,1.6146,2.0211,2.0643,2.4205,1.9654,2.2723,2.8454
alp14,1.0036,1.1457,0.9549,1.0617,1.0386,0.6718,0.6829,0.6504,0.8391,0.7589,0.8905
alp16,0.7002,0.9305,0.678,0.8496,1.2072,1.0688,1.0178,0.823,0.8683,0.9194,0.7645
alp21,1.2807,1.0989,1.4242,1.2594,1.2444,1.1431,1.2164,1.2039,1.4916,1.552,1.544
alp31,2.3522,2.7789,2.2832,3.1327,2.2386,1.951,2.2769,2.0282,2.278,2.6541,2.8716
alp4,0.295,0.2867,0.2764,0.3318,0.3342,0.3327,0.3234,0.3065,0.2994,0.2493,0.3024
alp41,0.0607,0.0759,0.0519,0.0386,0.045,0.0487,0.0688,0.0772,0.0812,0.0614,0.0624
alp5,2.6739,1.345,2.4623,1.5006,2.2418,2.648,2.1061,1.4601,2.6361,1.8061,1.7246
alp6,0.8788,0.9379,0.7222,0.8092,0.895,0.8775,1.0142,0.9794,1.0832,0.9728,1.0399
alp7,0.2872,0.2029,0.1967,0.2071,0.3269,0.2299,0.2781,0.2593,0.255,0.1984,0.3001
alr1,0.3973,0.3549,0.3869,0.3088,0.3739,0.3703,0.4434,0.3482,0.3641,0.3589,0.4527
alr2,0.3784,0.2046,0.6432,0.2875,0.4511,2.412,3.6398,1.0962,0.7511,0.4232,0.2925
amk2,6.7709,7.3228,7.4415,9.3987,10.0487,10.4724,10.2823,10.1427,8.7537,8.3635,8.2747
amo1,1.9937,1.4583,1.6153,1.3574,1.6899,1.0942,1.1338,0.9904,1.4443,1.6998,1.7052
ams1,1.5502,1.8145,1.7636,2,3.6071,3.5908,3.5624,3.2466,2.36,1.335,2.0461
ams2,0.7041,0.7691,0.5549,0.6793,1.2198,0.9527,0.9633,1.2074,1.277,0.9839,1.2794
amt1,0.675,0.9689,0.51,0.8584,1.6995,0.4757,0.5425,1.4109,0.9774,0.6972,1.2811
amt2,4.643,4.7296,4.6951,4.6013,4.9936,4.1521,4.5408,4.225,4.628,3.8732,4.1816
amt3,0.1615,0.1451,0.1262,0.1223,0.1671,0.0999,0.1117,0.1244,0.1251,0.1022,0.1433
anc1,12.582,10.2575,12.9876,10.7771,15.1426,14.7544,12.8254,10.2574,10.0063,7.7708,10.7181
anp1,1.7426,1.5649,1.647,1.5263,1.6308,1.5821,1.5862,1.6458,1.6803,1.336,1.6039
apc10,0.5988,0.5827,0.6183,0.6374,0.3318,0.4551,0.5318,0.5598,0.5533,0.544,0.5432
apc11,2.1297,1.5516,2.0062,1.4681,1.0897,1.3348,2.015,2.0902,2.1985,1.9577,1.9066
apc13,0.051,0.0528,0.0343,0.043,0.0639,0.0339,0.0432,0.0454,0.0776,0.031,0.0173
apc14,1.2597,1.4242,1.0137,1.2642,0.8801,0.6543,0.6116,0.748,0.8277,1.2996,1.3439
apc15,0.1676,0.1439,0.1344,0.1165,0.114,0.0755,0.1274,0.1283,0.1446,0.1498,0.1343
apc2,0.235,0.1994,0.2286,0.2438,0.2589,0.202,0.2396,0.2082,0.2512,0.198,0.2667
apc5,0.6357,0.5361,0.6735,0.6348,0.695,0.6566,0.6403,0.5462,0.6209,0.595,0.6593
ape2,5.5931,6.3786,6.4881,7.4648,10.3705,8.9096,8.416,7.3328,6.8667,4.8409,5.7405
aph1,2.5294,3.1113,2.2704,2.9975,2.5019,1.8379,2.1621,2.8876,2.3778,3.0567,2.9923
apl1,0.5267,0.5463,0.4837,0.5059,0.5623,0.5074,0.4275,0.323,0.5382,0.4551,0.5191
apl2,1.8532,2.1368,1.7489,2.2975,2.6294,1.7249,1.354,1.3691,1.9352,1.5048,1.6952
apl3,0.7762,0.8504,0.664,0.7499,0.7629,0.8295,0.8036,0.6988,0.8155,0.8068,0.8158
