ADA2	AIR1	ARX1	CGR1	DAK2	FMT1	GIT1	HOS2	MRPL4	MTR4	PHO4	POL4	RPA12	RRP12	SNU66	SPB1	SWF1	TEA1	VRP1	YOX1	ZDS1
1.0386	4.0307	6.1996	11.2535	0.8678	0.2223	1.3671	0.5759	3.5913	4.1777	3.6055	0.0317	7.0288	1.7701	1.9671	3.739	2.5183	1.0091	0.8199	1.2951	1.1747
1.006	3.9102	7.3911	10.9243	1.3381	0.2331	1.2721	0.4353	3.1239	4.0758	2.8403	0.0649	8.4663	1.8825	1.8706	4.2943	1.6337	1.0335	0.8668	1.1483	1.3669
1.3268	3.1106	4.5194	8.4213	0.7795	0.195	1.2478	0.518	3.1709	3.6609	2.5965	0.0435	4.8219	1.2988	1.3973	2.4419	2.5719	0.8649	0.7504	1.1053	1.1313
1.0667	3.303	5.504	6.6424	1.4209	0.2053	1.3991	0.4172	3.004	3.098	1.8438	0.0577	5.3519	1.3012	1.3833	2.3075	1.949	0.8907	0.8461	1.1012	1.3494
0.8035	2.4466	3.1457	2.6524	1.0934	0.1881	1.5649	0.4378	2.2247	2.7766	1.3526	0.0501	2.7822	1.1582	1.3257	1.8263	2.3292	0.9307	1.109	0.9971	1.9114
0.8347	1.4789	2.3308	2.7933	0.7529	0.1078	1.5274	0.3597	2.3488	1.9092	0.8058	0.0484	2.3086	0.7592	1.3442	1.1824	2.2544	0.7433	0.6487	1.4091	1.3592
0.9067	1.7897	2.6268	4.1604	0.8953	0.1772	1.5847	0.4234	3.2116	1.9641	0.987	0.0973	2.8067	1.0164	1.6914	1.5104	2.1345	0.6885	0.7434	1.9308	1.261
1.0801	2.3129	5.317	6.5476	1.7693	0.2365	1.1612	0.4532	3.0184	2.5029	1.6568	0.0596	4.9644	1.1046	1.432	2.097	2.0551	0.5308	0.8631	2.1401	1.1434
0.949	2.9606	4.696	7.6941	1.0999	0.287	1.1994	0.5027	3.2622	2.7356	2.5608	0.0593	4.7974	1.2968	1.7084	2.5379	2.5477	0.6772	0.6779	2.0836	1.1271
0.8101	3.4621	7.2432	11.0039	0.7489	0.2441	1.041	0.4626	3.0789	2.8673	2.5564	0.0451	7.7592	1.4212	1.8382	3.5861	2.92	0.6906	0.6027	1.4942	0.9133
0.9846	3.7593	8.1951	10.4654	1.2909	0.2861	1.2334	0.5273	3.2553	4.1155	3.3089	0.0342	8.6013	1.6993	1.476	4.0068	2.4774	0.7983	0.9529	1.7453	1.3094
