ADA2	AIR1	ARX1	ATG17	CGR1	CNS1	DAD2	DAK2	DBP7	DIM1	DRS1	FMT1	GIT1	HOP1	HOS2	MRPL4	MSA1	MSH1	MSH3	MTR4	PAN1	PHO4	POL4	PPR1	PUT4	RPA12	RPA43	RRP12	SNU66	SPB1	SPO20	SWF1	TEA1	UTP13	VRP1	YOX1	ZDS1
1.0386	4.0307	6.1996	1.8755	11.2535	2.7086	0.4661	0.8678	0.9536	6.9284	9.2456	0.2223	1.3671	0.0898	0.5759	3.5913	0.6841	1.2207	0.5112	4.1777	1.6861	3.6055	0.0317	2.2282	1.1772	7.0288	8.6022	1.7701	1.9671	3.739	8.9188	2.5183	1.0091	1.9293	0.8199	1.2951	1.1747
1.006	3.9102	7.3911	1.5627	10.9243	2.202	0.4445	1.3381	0.8806	6.0451	8.2885	0.2331	1.2721	0.1039	0.4353	3.1239	1.1618	1.597	0.8218	4.0758	1.6308	2.8403	0.0649	1.97905	1.7245	8.4663	9.4242	1.8825	1.8706	4.2943	8.573	1.6337	1.0335	1.8437	0.8668	1.1483	1.3669
1.3268	3.1106	4.5194	1.7039	8.4213	2.4609	0.3464	0.7795	0.4901	5.8459	8.1681	0.195	1.2478	0.1525	0.518	3.1709	0.3131	1.1932	0.4782	3.6609	1.3163	2.5965	0.0435	2.26945	1.0618	4.8219	7.3189	1.2988	1.3973	2.4419	9.8123	2.5719	0.8649	1.3341	0.7504	1.1053	1.1313
1.0667	3.303	5.504	1.8579	6.6424	1.9896	0.3482	1.4209	0.5054	4.9962	7.8204	0.2053	1.3991	0.1406	0.4172	3.004	0.7726	1.2399	0.7866	3.098	1.3764	1.8438	0.0577	3.0265	2.358	5.3519	6.9063	1.3012	1.3833	2.3075	10.6452	1.949	0.8907	1.2198	0.8461	1.1012	1.3494
0.8035	2.4466	3.1457	2.3544	2.6524	1.3529	0.3503	1.0934	0.6097	3.599	11.3477	0.1881	1.5649	0.2055	0.4378	2.2247	0.7006	1.7333	0.7299	2.7766	1.7658	1.3526	0.0501	5.9606	3.2879	2.7822	5.1078	1.1582	1.3257	1.8263	9.3979	2.3292	0.9307	1.1707	1.109	0.9971	1.9114
0.8347	1.4789	2.3308	4.4095	2.7933	1.3367	0.503	0.7529	0.3017	3.838	9.2004	0.1078	1.5274	0.1936	0.3597	2.3488	0.2799	1.52	0.3874	1.9092	1.2937	0.8058	0.0484	8.72625	0.7344	2.3086	4.0734	0.7592	1.3442	1.1824	10.3159	2.2544	0.7433	0.8417	0.6487	1.4091	1.3592
0.9067	1.7897	2.6268	4.151	4.1604	1.5594	0.6774	0.8953	0.3713	4.6924	8.4095	0.1772	1.5847	0.264	0.4234	3.2116	0.4056	1.4986	0.4133	1.9641	1.2922	0.987	0.0973	8.916	0.4147	2.8067	4.3906	1.0164	1.6914	1.5104	9.2086	2.1345	0.6885	0.9224	0.7434	1.9308	1.261
1.0801	2.3129	5.317	3.3797	6.5476	2.1646	0.7033	1.7693	0.5925	4.7304	6.9319	0.2365	1.1612	0.1926	0.4532	3.0184	1.5306	0.9497	0.631	2.5029	1.516	1.6568	0.0596	5.61315	0.6504	4.9644	5.129	1.1046	1.432	2.097	9.6928	2.0551	0.5308	1.4601	0.8631	2.1401	1.1434
0.949	2.9606	4.696	2.684	7.6941	2.3585	0.6533	1.0999	0.7118	5.8974	11.6001	0.287	1.1994	0.2805	0.5027	3.2622	0.7258	1.6179	0.6129	2.7356	1.2973	2.5608	0.0593	6.36305	0.8471	4.7974	6.1658	1.2968	1.7084	2.5379	8.1302	2.5477	0.6772	1.5428	0.6779	2.0836	1.1271
0.8101	3.4621	7.2432	2.2113	11.0039	3.1961	0.5766	0.7489	0.9976	6.2798	9.4464	0.2441	1.041	0.2061	0.4626	3.0789	0.737	1.4595	0.619	2.8673	0.9756	2.5564	0.0451	4.09225	0.9044	7.7592	7.7514	1.4212	1.8382	3.5861	9.432	2.92	0.6906	1.5332	0.6027	1.4942	0.9133
0.9846	3.7593	8.1951	2.0651	10.4654	3.3218	0.5506	1.2909	1.2591	5.3717	8.9467	0.2861	1.2334	0.1348	0.5273	3.2553	1.6666	1.3823	0.6537	4.1155	1.7275	3.3089	0.0342	2.8883	1.3458	8.6013	8.9517	1.6993	1.476	4.0068	11.2126	2.4774	0.7983	2.2907	0.9529	1.7453	1.3094
